antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent,consequent,rule
Bread,Apple,0.3843843843843844,0.3833833833833834,0.15415415415415415,0.4010416666666667,1.0460590731070496,0.006787568349129913,1.0294816555686122,Bread,Apple,0
Apple,Bread,0.3833833833833834,0.3843843843843844,0.15415415415415415,0.40208877284595296,1.0460590731070496,0.006787568349129913,1.0296103964226235,Apple,Bread,1
Butter,Apple,0.42042042042042044,0.3833833833833834,0.1881881881881882,0.44761904761904764,1.1675494218575158,0.02700598496394291,1.116288702495599,Butter,Apple,2
Apple,Butter,0.3833833833833834,0.42042042042042044,0.1881881881881882,0.4908616187989556,1.1675494218575158,0.02700598496394291,1.1383537383537383,Apple,Butter,3
Cheese,Apple,0.4044044044044044,0.3833833833833834,0.16216216216216217,0.400990099009901,1.045924566346974,0.007120233346459587,1.0293930293930293,Cheese,Apple,4
Apple,Cheese,0.3833833833833834,0.4044044044044044,0.16216216216216217,0.42297650130548303,1.045924566346974,0.007120233346459587,1.032186032186032,Apple,Cheese,5
Corn,Apple,0.4074074074074074,0.3833833833833834,0.18618618618618618,0.457002457002457,1.1920246854972703,0.029992955918881847,1.1355790179319591,Corn,Apple,6
Apple,Corn,0.3833833833833834,0.4074074074074074,0.18618618618618618,0.4856396866840731,1.1920246854972705,0.029992955918881847,1.1520962586952435,Apple,Corn,7
Dill,Apple,0.3983983983983984,0.3833833833833834,0.17917917917917917,0.4497487437185929,1.173104425521865,0.02643985326668008,1.1206091936685543,Dill,Apple,8
Apple,Dill,0.3833833833833834,0.3983983983983984,0.17917917917917917,0.4673629242819843,1.173104425521865,0.02643985326668008,1.1294775167324187,Apple,Dill,9
Eggs,Apple,0.3843843843843844,0.3833833833833834,0.15615615615615616,0.40625,1.0596442558746735,0.008789570351131926,1.0385121964069333,Eggs,Apple,10
Apple,Eggs,0.3833833833833834,0.3843843843843844,0.15615615615615616,0.4073107049608355,1.0596442558746735,0.008789570351131926,1.0386818536598272,Apple,Eggs,11
Ice cream,Apple,0.41041041041041043,0.3833833833833834,0.17217217217217218,0.4195121951219512,1.0942367700439406,0.014827640453266067,1.0622387092975327,Ice cream,Apple,12
Apple,Ice cream,0.3833833833833834,0.41041041041041043,0.17217217217217218,0.44908616187989553,1.0942367700439406,0.014827640453266067,1.070202904326127,Apple,Ice cream,13
Kidney Beans,Apple,0.4084084084084084,0.3833833833833834,0.17617617617617617,0.4313725490196078,1.125172784518507,0.019599178758337915,1.0843947395671534,Kidney Beans,Apple,14
Apple,Kidney Beans,0.3833833833833834,0.4084084084084084,0.17617617617617617,0.45953002610966054,1.125172784518507,0.019599178758337915,1.0945873409641524,Apple,Kidney Beans,15
Milk,Apple,0.40540540540540543,0.3833833833833834,0.1841841841841842,0.454320987654321,1.1850304612706701,0.028758488217947686,1.1299987770576008,Milk,Apple,16
Apple,Milk,0.3833833833833834,0.40540540540540543,0.1841841841841842,0.4804177545691906,1.1850304612706701,0.028758488217947686,1.1443705011544205,Apple,Milk,17
Nutmeg,Apple,0.4014014014014014,0.3833833833833834,0.17217217217217218,0.428927680798005,1.1187957000449267,0.018281544808071343,1.0797522413242935,Nutmeg,Apple,18
Apple,Nutmeg,0.3833833833833834,0.4014014014014014,0.17217217217217218,0.44908616187989553,1.1187957000449267,0.018281544808071343,1.0865557500628593,Apple,Nutmeg,19
Onion,Apple,0.4034034034034034,0.3833833833833834,0.16716716716716717,0.4143920595533499,1.080881638365004,0.012509005501998488,1.0529512563410868,Onion,Apple,20
Apple,Onion,0.3833833833833834,0.4034034034034034,0.16716716716716717,0.4360313315926893,1.080881638365004,0.012509005501998488,1.0578541504467431,Apple,Onion,21
Sugar,Apple,0.4094094094094094,0.3833833833833834,0.18218218218218218,0.4449877750611247,1.160686128684239,0.02522141761381,1.11099645901408,Sugar,Apple,22
Apple,Sugar,0.3833833833833834,0.4094094094094094,0.18218218218218218,0.4751958224543081,1.1606861286842391,0.02522141761381,1.1253542099313243,Apple,Sugar,23
Unicorn,Apple,0.3893893893893894,0.3833833833833834,0.16616616616616617,0.4267352185089974,1.113076979870727,0.01688074460847233,1.0756227079097034,Unicorn,Apple,24
Apple,Unicorn,0.3833833833833834,0.3893893893893894,0.16616616616616617,0.43342036553524804,1.113076979870727,0.01688074460847233,1.0777136583588196,Apple,Unicorn,25
Yogurt,Apple,0.42042042042042044,0.3833833833833834,0.1871871871871872,0.4452380952380952,1.1613390525923162,0.026004983962941902,1.1114977638582788,Yogurt,Apple,26
Apple,Yogurt,0.3833833833833834,0.42042042042042044,0.1871871871871872,0.48825065274151436,1.1613390525923162,0.026004983962941902,1.1325458111172395,Apple,Yogurt,27
chocolate,Apple,0.4214214214214214,0.3833833833833834,0.1831831831831832,0.4346793349168646,1.133798056349733,0.021617212808404007,1.0907377966201495,chocolate,Apple,28
Apple,chocolate,0.3833833833833834,0.4214214214214214,0.1831831831831832,0.47780678851174935,1.133798056349733,0.021617212808404007,1.1079779779779781,Apple,chocolate,29
Butter,Bread,0.42042042042042044,0.3843843843843844,0.18018018018018017,0.42857142857142855,1.114955357142857,0.01857713569425279,1.0773273273273274,Butter,Bread,30
Bread,Butter,0.3843843843843844,0.42042042042042044,0.18018018018018017,0.46875,1.1149553571428572,0.01857713569425279,1.0909733262674437,Bread,Butter,31
Cheese,Bread,0.4044044044044044,0.3843843843843844,0.17317317317317318,0.42821782178217827,1.1140354269801982,0.01772643514385258,1.0766610766610767,Cheese,Bread,32
Bread,Cheese,0.3843843843843844,0.4044044044044044,0.17317317317317318,0.45052083333333337,1.1140354269801982,0.01772643514385258,1.0839275294251598,Bread,Cheese,33
Corn,Bread,0.4074074074074074,0.3843843843843844,0.17417417417417416,0.4275184275184275,1.112215909090909,0.017573128684239797,1.0753457319980926,Corn,Bread,34
Bread,Corn,0.3843843843843844,0.4074074074074074,0.17417417417417416,0.453125,1.1122159090909092,0.017573128684239797,1.0835978835978834,Bread,Corn,35
Dill,Bread,0.3983983983983984,0.3843843843843844,0.16016016016016016,0.40201005025125625,1.0458542713567838,0.007022037052067082,1.0294748530042648,Dill,Bread,36
Bread,Dill,0.3843843843843844,0.3983983983983984,0.16016016016016016,0.4166666666666667,1.045854271356784,0.007022037052067082,1.0313170313170315,Bread,Dill,37
